Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
RHMG.DE,Industrials,Capital Goods,Rheinmetall AG,53.601645610405,0.753074858614458,13.3901249063428,6.65424185610532,86.5263458129215,14.4908214542,11.32317,28.1304,0.2545441593824218,0.6701517730807574,0.9160998765464817,4.3704327573,29.1096106976406,,34.27808255044657,,1.3033504361595942,1.049686708236615,19.670189951576173
BNPP.PA,Financials,Banks,BNP Paribas SA,7.93795256306803,0.977858754868769,0.792115175780605,1.19465242797246,,75.1941550534,5.11856,9.65633,0.06632375291876591,,,67.8483515971,,12.87,63.392136464053856,,1.1635627651375244,1.0324947589098532,16.976307639277625
SPSN.S,Real Estate,Real Estate Management & Development,Swiss Prime Site AG,28.309208500154,2.50830713009975,1.24293345275879,13.9720340270652,54.4271392676722,61.7665914433,3.47,6.5185,-0.025582010385591936,0.8116074539076691,1.0577513250607633,41.8232627918,32.38644852636,,49.74088011016016,,1.0708542326517179,1.0011299830940514,17.322600350982633
ADDTb.ST,Industrials,Capital Goods,Addtech AB,42.0603015075377,3.19654335719465,10.5860022569559,3.9205491769158,33.4216310232096,12.4931180033,3.47764,27.86,0.07621098694355233,1.280174805771365,0.08913706992230855,5.9405977566,22.5503144389198,,56.91414582433029,,1.0694138777162228,1.03503125465099,15.31870238688672
DEMANT.CO,Health Care,Health Care Equipment & Services,Demant A/S,19.6195176262087,0.999526827391546,4.86245899578901,2.41650241331906,25.1632214356266,19.3050537491,0.0,26.24914,0.05639296205830613,1.0006460767418264,0.3530202887691868,20.5407267449,11.8522473196717,,42.28525351092168,,0.9688766536667431,1.0302646883153626,21.503506277645986
AAK.ST,Consumer Staples,"Food, Beverage & Tobacco",AAK AB (publ),18.520154285546,1.9824490635939,3.06545601460502,1.42140639089326,30.0963144914803,10.8674420669,5.3307,17.066,-0.029466759185386104,0.6391501757218202,0.35305133999206406,1.9976118671,12.1670216144216,,49.657652957423075,,0.8981038454722666,0.9781031424908059,29.218632815801655
SIEGn.DE,Industrials,Capital Goods,Siemens AG,19.3204586755679,2.40668339507445,3.2662518767879,2.33004252927879,23.1484970024139,12.876333465,5.37864,16.67507,0.03222373939138867,1.0044417713656972,0.24343840539134243,19.8416182307,15.8372152000963,,58.28460419428275,,1.1135519415845396,1.0479723670197858,17.065073840840405
JYSK.CO,Financials,Banks,Jyske Bank A/S,9.49754304205677,2.99778219153638,0.864809304155273,1.69061082622812,,98.956780924,22.59686,9.3808,0.11040352664123332,,,92.8257244612,,17.6,70.6348760660444,,1.2107946383916952,1.087215941579805,20.322760582020432
TLIT.MI,Communication Services,Telecommunication Services,Telecom Italia SpA,,,0.707340324118208,0.680229743054372,38.6392665445634,12.692147902,0.0,0.342,-0.04251053676409211,4.430354151042811,16.568238681901523,61.6868473901,4.98922016837154,,78.31367575276971,,1.4225677029500816,1.1058223715023618,21.97175052144331
HSBA.L,Financials,Banks,HSBC Holdings PLC,9.41280702735229,1.64981550977055,1.25036673918187,2.17112787398126,,62.0563349328,0.67879,13.42746,0.08206369201880492,,,34.5090970137,9.26474369368593,14.9,63.638514853244224,,1.140666920360612,1.074892971642489,26.097936004389716
TEL.OL,Communication Services,Telecommunication Services,Telenor ASA,18.5121637425558,,3.23886932336948,2.73985939428852,18.1959046783189,22.6566409769,9.68783,17.05131,0.017313773161161894,1.4543797247412835,1.0261593814558803,33.3355444247,8.82525628956509,,55.86322280612033,,1.1179883141457059,1.0416531415142112,26.818055596821203
INVP.L,Financials,Financial Services,Investec PLC,6.83131537679545,0.868745197944077,0.902210743505903,1.24632945092482,,48.7434444695,0.3805378,13.3655,0.05078380321591158,,,,,12.3,53.838544005614814,,1.0428443887421883,1.0890328311512716,14.789025446908362
BMPS.MI,Financials,Banks,Banca Monte dei Paschi di Siena SpA,7.73141486810552,,0.88183807439825,3.03544407110876,,49.523267265,1.0967,11.51875,0.09528972165470595,,,41.0091767086,,18.28,71.05740844449758,,1.181209981730013,1.0259483218858834,23.5711903418241
BC8G.DE,Information Technology,Software & Services,Bechtle AG,21.9726641855325,3.0746346618048,2.52254493438647,0.81433519048336,29.9662408376404,6.1927805077,0.64345,11.7891,0.02164917922497156,0.7772350837718988,0.4299928989877215,2.390305487,11.1436157315283,,51.753565560955785,,1.0939777348025566,1.0132167947281503,17.612820921296397
BATS.L,Consumer Staples,"Food, Beverage & Tobacco",British American Tobacco plc,12.5893459576813,3.52313649645077,1.94888117212057,3.69408705856541,17.5079275282227,39.6412417366,2.4246179,15.21963,-0.025622211674966033,0.9497524647762784,0.07754796502046031,32.3331806941,10.2323880521715,,77.27562241281981,,1.3263510190446437,1.1586825571044603,52.64214000366981
SOGN.PA,Financials,Banks,Societe Generale SA,9.41866951069701,0.306189310611015,0.70713297980778,0.82172855247569,,48.513865845,1.65379,7.6062,0.03400630629207835,,,,,13.3,75.14390142658476,,1.4963354396382744,1.1251320764324724,43.285238950649784
OCDO.L,Consumer Staples,Consumer Staples Distribution & Retail,Ocado Group PLC,,,2.3848186557453,9.04151475458177,,-23.6887608069,0.0,-11.46988,-0.05434433143594486,0.09044987196574815,-1.425338962251623,26.9573017563,22.0921749945037,,62.07861976389493,,,,40.506069561714234
