Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
RXL.PA,Industrials,Capital Goods,Rexel SA,0.9959451517894012,0.45550173345659656,0.01873195376906358,1.0005043380839385,0.2259290854974088,-1.0578471142340942,-0.5120698079724011,-0.3062549054515626,-0.5362431396146418,-0.37250911811947957,0.5791570360210135,-1.5946393081029442,-0.8227017508094365,,-0.12394105085346498,,-0.3214456080870642,-0.0038548745030805636,-1.0265275982105044
METSO.HE,Industrials,Capital Goods,Metso Oyj,0.4605289589091651,0.6932947717062072,-0.05389380801217478,0.2318465204192885,0.41736534864590963,0.6578509492960574,-0.7703250225883349,-0.1394514742670064,-0.7127773922857257,0.08791321710304478,0.41474132441965716,0.07915305221172345,-0.2575874003119333,,-0.22922674342263633,,0.20222310821167977,0.30551160889687184,0.10724572339187759
VOLVb.ST,Industrials,Capital Goods,Volvo AB,0.7886001901340334,-1.4747496805627365,-0.041051039445728355,0.6082444198178335,0.26794137479427504,0.24476815725770584,3.71513149137742,-0.08637002758126018,-0.5404421573682379,-0.2343964569391212,0.04534966013558475,-0.7484714722091073,-0.37892748109942886,,0.701491153702586,,-0.4337478179701262,-0.3195414844626844,-0.16842119428600705
ALSO.PA,Industrials,Capital Goods,Alstom SA,0.8681807938217226,0.7772581530303252,0.03747809308376737,0.9377950488762887,-0.09169599523590811,-1.3954879732693268,-0.8645974349513937,-0.43307218186982915,-0.06567109447331451,-0.9962622006721127,-0.3176460447620042,0.19722566854491447,-1.037432767372931,,0.22301662590291685,,-0.4290588571650727,-0.1531175760444918,-0.6139457587738201
ACS.MC,Industrials,Capital Goods,ACS Actividades de Construccion y Servicios SA,0.2536470065264936,0.09009538049452512,-0.0524358825961178,1.0200644771364913,0.488188046620405,-1.650228176104555,-0.23546621258560285,-0.12714632346141308,0.9117848415423229,0.7197490968277358,-1.202773647348551,0.08795103047016227,-1.0021470164814947,,1.2501052711401919,,0.8457167672635143,0.25954638455011986,0.7463947802287704
VALMT.HE,Industrials,Capital Goods,Valmet Oyj,0.639933540257638,0.6266055760982333,-0.01200211861393632,0.647665882797376,0.7169161967402361,-0.38437582677692267,-0.4867705737717577,-0.22872376705116423,-0.5111113017638031,0.7007654334439251,0.4462550826233267,-0.3377547503528474,-0.5937866697005498,,0.6494667557391935,,0.6056293518612511,0.6086769793442849,0.8515485410575544
ROR.L,Industrials,Capital Goods,Rotork PLC,0.2830233243948898,-0.31633685193208605,-0.10335794929743149,-0.7189016824122201,0.24559353391515693,1.9378254951949174,-0.8402237525218419,-0.039633540641145715,0.27057007159906327,-0.19188188184354868,0.8209049819742984,,0.057112183449561635,,1.1720176958422357,,-0.10103430069248438,-0.17146090206748604,-0.7581454829212104
BALF.L,Industrials,Capital Goods,Balfour Beatty PLC,0.9085048422981544,-0.5253590671168493,-0.01965500694183383,1.0339272564695838,0.8339072873360699,-1.7105791252302203,-0.825500756692639,-0.15648803871703407,0.4879926550769599,-0.009511349084875111,0.5720626172136211,,-1.0792436789208502,,1.8131111545470489,,0.6644310951024158,0.5775899390694053,0.07665725619808254
SFSN.S,Industrials,Capital Goods,SFS Group AG,0.5851967622658645,-0.029145894308741375,-0.020562280687485994,0.5103284375404523,0.4220244681182809,-0.06513270972732957,-0.10762726307890594,-0.21942874855682012,-0.21757147256515294,-0.10764465255326935,-0.053143505799509626,0.6578457951317257,-0.606466390064952,,-0.5750264831505003,,-1.0940696262085385,-1.0121113788527525,-1.5031292750447656
TRELb.ST,Industrials,Capital Goods,Trelleborg AB,0.3512157465215248,0.29208272012208114,-0.004035392048091814,0.16706808125127817,0.35948797734136534,0.7048848812975198,1.3879383709049409,-0.35040822920259085,-0.045038416026044796,-0.1010041435611735,0.2768259636509984,0.6381558790155534,-0.42024987069661546,,-0.5868585974832818,,-0.93384198706531,-0.574452405029343,-1.1948690619037787
FLS.CO,Industrials,Capital Goods,FLSmidth & Co A/S,0.5900500033603939,0.6776018481040696,0.004275536665977778,0.6436026094193803,-2.2639906171504522,-0.33209611640435327,1.6699949927198146,-0.33500209102835776,-1.57776441605547,-1.3999066968508305,0.30778924225241827,0.7144528914354124,-0.6503374791007073,,-0.4993478158362964,,-0.2614346819765447,0.3707104834450801,-0.3548262447926527
VWS.CO,Industrials,Capital Goods,Vestas Wind Systems A/S,0.20424907524451807,0.7653443269041718,-0.07247108591870181,0.760347735432911,0.4002020924779515,-1.2684935309866012,-0.8109565054528973,-0.14123109149769633,0.6377500469969636,0.07877959690756228,-1.8158146275648621,,-0.9258863500368321,,-0.1615403125675023,,0.11954170205664963,0.9094631006413239,0.4070309499014071
NKT.CO,Industrials,Capital Goods,Nkt A/S,0.36271868486738157,,-0.013868036664195962,0.6114743348556912,,-0.7456736990970899,-0.8645974349513937,-0.32612138152522885,1.3089184721349059,-7.854568511786911,-6.707262971365972,,-0.7009870012760681,,-0.5332522860199241,,-0.3821464700286311,0.2964710884610443,-0.0662208450182964
ACLN.S,Industrials,Capital Goods,Accelleron Industries AG,-1.3101353346803863,0.04449236314487256,-0.44696103672897836,-3.159254028565418,-0.6768072475566052,2.333585641173183,-0.3523025696051791,0.7342576745559225,1.4474642647402958,-0.10655996340455205,0.6359963065613395,0.843394809242598,2.028080629157109,,2.4744110108512047,,2.7056781792680167,3.689876954949323,3.0188206247811817
BEAN.S,Industrials,Capital Goods,Belimo Holding AG,-3.3469935212879123,-0.27322361761706415,-0.5860249780422614,-4.412915626513521,-2.425132044053349,1.2216748883055395,2.6154690331113426,0.1381206555754448,0.5186345795205516,-0.4167772976745115,0.3403397860955197,,4.687733497366955,,0.45864799815018586,,1.5275595123180197,1.9957413449856423,1.694274020301207
ASSAb.ST,Industrials,Capital Goods,Assa Abloy AB,0.014590341262752183,-0.02101661322666554,-0.04996866221845612,0.05697944460753977,0.17117099664228294,0.8330457474296997,0.9052168125122766,-0.23182252027904846,0.4516108254859215,0.16774519435072208,0.703449245838594,-0.10683423000466914,0.09037460131829757,,0.8737258436030743,,-0.3734109331955876,0.14194194817252648,1.0111962245668469
DCC.L,Industrials,Capital Goods,DCC PLC,1.1497281358222078,-0.07954366248983676,0.01977453597237139,1.0763750252429585,0.8354844738958581,-1.5374039376589925,-0.27387026287380434,-0.26601678925562444,-1.6980845357797485,0.6505063942417694,0.0909548572333961,-0.3241652360624716,-1.0244380612718966,,-0.6512101172040732,,-1.0528824562528893,-0.7969580811421215,-1.1030553313210754
LIFCOb.ST,Industrials,Capital Goods,Lifco AB (publ),-1.8751460403783418,-0.3571020289265148,-0.2073433435603835,-1.508573861240892,-0.26392937896914126,1.1762826182752328,-0.09799670352889234,-0.10106893608744537,0.47263642428111785,0.579446615343839,0.7784846643252418,0.7122141352829401,1.4831725381268672,,-1.2260293318213589,,-0.8246962665472106,-1.3623136612095395,0.8885714586861254
GEBN.S,Industrials,Capital Goods,Geberit AG,-0.9847568697491076,-0.7262402929372509,-0.4841423233602036,-2.3261020689742002,-0.4009511062677817,2.1590981741610733,3.0269765237257618,0.5358756567437623,-1.0245783934562427,0.038267908464735136,0.4754441591328012,0.7387261867958774,1.738857885458935,,0.45308312191215,,0.22801866185769948,-0.0799685825005355,-0.9314308651357687
